time,left_contact,right_contact,swing_leg,stance_leg,swing_foot_rel_com_x,swing_foot_rel_com_y,swing_foot_rel_com_z,stance_foot_rel_com_x,stance_foot_rel_com_y,stance_foot_rel_com_z,lower_body_inertia_about_robot_com_x,lower_body_inertia_about_robot_com_y,lower_body_inertia_about_robot_com_z
0.0005,1,1,-1,1,nan,nan,nan,-0.00781144021972,-0.118588715982,-0.69349124358,2.12513716319,1.96421786306,0.240297286312
0.001,1,1,-1,1,nan,nan,nan,-0.00781143929985,-0.118588715966,-0.693491243812,2.1251371638,1.96421786355,0.240297286196
0.0015,1,1,-1,1,nan,nan,nan,-0.00781143666211,-0.118588715892,-0.693491244498,2.1251371657,1.96421786516,0.240297285792
0.002,1,1,-1,1,nan,nan,nan,-0.0078114315944,-0.118588715723,-0.693491245847,2.12513716951,1.96421786842,0.240297284922
0.0025,1,1,-1,1,nan,nan,nan,-0.00781142340115,-0.118588715427,-0.693491248061,2.12513717584,1.96421787385,0.240297283423
0.003,1,1,-1,1,nan,nan,nan,-0.00781141141768,-0.118588714969,-0.693491251325,2.12513718524,1.96421788193,0.240297281145
0.0035,1,1,-1,1,nan,nan,nan,-0.00781139500343,-0.118588714317,-0.69349125582,2.12513719824,1.96421789314,0.24029727795
0.004,1,1,-1,1,nan,nan,nan,-0.00781137354056,-0.118588713442,-0.69349126172,2.12513721538,1.96421790792,0.240297273703
0.0045,1,1,-1,1,nan,nan,nan,-0.00781134643093,-0.118588712313,-0.693491269194,2.12513723714,1.96421792674,0.240297268277
0.005,1,1,-1,1,nan,nan,nan,-0.00781131309276,-0.118588710903,-0.693491278409,2.12513726405,1.96421795004,0.240297261549
0.0055,1,1,-1,1,nan,nan,nan,-0.00781127295727,-0.118588709184,-0.693491289532,2.12513729664,1.96421797829,0.240297253394
0.006,1,1,-1,1,nan,nan,nan,-0.00781122547592,-0.11858870713,-0.693491302728,2.12513733542,1.96421801196,0.240297243692
0.0065,1,1,-1,1,nan,nan,nan,-0.00781116467402,-0.118588704705,-0.693491319307,2.12513738383,1.96421805437,0.240297232219
0.007,1,1,-1,1,nan,nan,nan,-0.00781108268215,-0.118588701855,-0.693491341177,2.12513744725,1.96421811031,0.240297218302
0.0075,1,1,-1,1,nan,nan,nan,-0.0078109723592,-0.118588698537,-0.693491370247,2.12513753148,1.96421818465,0.240297200921
0.008,1,1,-1,1,nan,nan,nan,-0.00781082636906,-0.118588694711,-0.693491408474,2.12513764247,1.96421828238,0.240297179053
0.0085,1,1,-1,1,nan,nan,nan,-0.00781063713274,-0.118588690344,-0.693491457824,2.12513778608,1.96421840848,0.240297151762
0.009,1,1,-1,1,nan,nan,nan,-0.00781039480513,-0.118588685389,-0.693491520621,2.12513796869,1.96421856877,0.240297118335
0.0095,1,1,-1,1,nan,nan,nan,-0.00781009891175,-0.118588679791,-0.693491599684,2.1251382047,1.96421877218,0.240297073256
0.01,1,1,-1,1,nan,nan,nan,-0.00780974041946,-0.118588673502,-0.693491698041,2.12513850521,1.96421902786,0.24029701453
0.0105,1,1,-1,1,nan,nan,nan,-0.00780931014191,-0.11858866649,-0.693491818703,2.12513888107,1.96421934483,0.240296940215
0.011,1,1,-1,1,nan,nan,nan,-0.00780880113625,-0.118588658713,-0.69349196477,2.12513934489,1.96421973277,0.24029684731
0.0115,1,1,-1,1,nan,nan,nan,-0.00780820580844,-0.118588650127,-0.693492139301,2.12513990874,1.96422020123,0.240296733199
0.012,1,1,-1,1,nan,nan,nan,-0.00780751694357,-0.118588640695,-0.693492345302,2.12514058462,1.96422075961,0.240296595214
0.0125,1,1,-1,1,nan,nan,nan,-0.00780672739702,-0.118588630377,-0.693492585822,2.1251413848,1.96422141745,0.240296430582
0.013,1,1,-1,1,nan,nan,nan,-0.00780583015207,-0.118588619139,-0.693492863858,2.12514232134,1.9642221842,0.240296236585
0.0135,1,1,-1,1,nan,nan,nan,-0.00781055764604,-0.118588634359,-0.693488414932,2.12511810139,1.96420207021,0.240300328747
0.014,1,1,-1,1,nan,nan,nan,-0.00781696774732,-0.118588669294,-0.693479935193,2.125070881,1.96416407289,0.240309549385
0.0145,1,1,-1,1,nan,nan,nan,-0.00782490524679,-0.11858871694,-0.693468049128,2.12500434117,1.96411108248,0.240323108955
0.015,1,1,-1,1,nan,nan,nan,-0.00783418981672,-0.118588772132,-0.693453347646,2.12492196152,1.96404585311,0.240340283115
0.0155,1,1,-1,1,nan,nan,nan,-0.00784462114042,-0.118588832496,-0.693436383495,2.12482698806,1.96397097238,0.240360410888
0.016,1,1,-1,1,nan,nan,nan,-0.00785597975281,-0.118588894792,-0.693417668573,2.12472241203,1.96388884026,0.240382898209
0.0165,1,1,-1,1,nan,nan,nan,-0.00786803148691,-0.118588957324,-0.693397671309,2.12461095649,1.96380165437,0.240407217875
0.017,1,1,-1,1,nan,nan,nan,-0.00788053318237,-0.118589018913,-0.693376815534,2.12449506939,1.9637114011,0.240432907236
0.0175,1,1,-1,1,nan,nan,nan,-0.00789325047216,-0.118589078814,-0.693355479519,2.12437692338,1.96361984678,0.24045955931
0.018,1,1,-1,1,nan,nan,nan,-0.00790595873482,-0.11858913684,-0.693333996349,2.12425841664,1.96352853692,0.240486820885
0.0185,1,1,-1,1,nan,nan,nan,-0.00791793499428,-0.118589192759,-0.693312652089,2.12414089309,1.96343874222,0.240514618381
0.019,1,1,-1,1,nan,nan,nan,-0.00792951869009,-0.11858924627,-0.693291685479,2.12402594774,1.96335156034,0.24054245428
0.0195,1,1,-1,1,nan,nan,nan,-0.00794072156571,-0.118589297052,-0.693271287394,2.12391466489,1.96326776455,0.240570017663
0.02,1,1,-1,1,nan,nan,nan,-0.00795123777769,-0.118589345234,-0.693251629117,2.12380789995,1.96318810082,0.240597199228
0.0205,1,1,-1,1,nan,nan,nan,-0.00796095273051,-0.118589390858,-0.693232845353,2.12370638179,1.96311314773,0.240623848605
0.021,1,1,-1,1,nan,nan,nan,-0.00796979151152,-0.118589434303,-0.693215036655,2.12361065251,1.96304332424,0.240649842363
0.0215,1,1,-1,1,nan,nan,nan,-0.00797772235159,-0.118589474923,-0.693198249755,2.1235209656,1.96297882299,0.2406751189
0.022,1,1,-1,1,nan,nan,nan,-0.00798470687236,-0.118589513341,-0.693182533034,2.12343755712,1.96291980509,0.240699602876
0.0225,1,1,-1,1,nan,nan,nan,-0.00799098629281,-0.118589549726,-0.693167908263,2.12336064709,1.96286632418,0.240723127411
0.023,1,1,-1,1,nan,nan,nan,-0.00799638869422,-0.118589584406,-0.6931543832,2.12329015364,1.96281833885,0.240745732498
0.0235,1,1,-1,1,nan,nan,nan,-0.00800087399638,-0.118589617605,-0.693141947683,2.12322595309,1.96277572794,0.240767420177
0.024,1,1,-1,1,nan,nan,nan,-0.00800449088935,-0.118589649422,-0.693130576491,2.12316787669,1.96273830469,0.240788172057
0.0245,1,1,-1,1,nan,nan,nan,-0.00800730349177,-0.118589679852,-0.693120232651,2.1231156935,1.96270582961,0.240807979277
0.025,1,1,-1,1,nan,nan,nan,-0.00800938711895,-0.118589709053,-0.693110869775,2.12306912318,1.96267802258,0.240826841731
0.0255,1,1,-1,1,nan,nan,nan,-0.00801082680041,-0.118589737182,-0.693102434163,2.12302784823,1.9626545732,0.240844766244
0.026,1,1,-1,1,nan,nan,nan,-0.00801171375363,-0.118589764384,-0.693094866698,2.12299152385,1.96263515007,0.24086176589
0.0265,1,1,-1,1,nan,nan,nan,-0.00801214174894,-0.118589790792,-0.693088104552,2.12295978672,1.96261940907,0.240877859586
0.027,1,1,-1,1,nan,nan,nan,-0.00801238214967,-0.118589816532,-0.693082080174,2.12293234388,1.96260700676,0.240892996595
0.0275,1,1,-1,1,nan,nan,nan,-0.00801239679163,-0.118589841737,-0.693076728892,2.12290875928,1.96259759571,0.240907265288
0.028,1,1,-1,1,nan,nan,nan,-0.0080122080147,-0.118589866497,-0.693071985602,2.12288862745,1.96259083244,0.24092072743
0.0285,1,1,-1,1,nan,nan,nan,-0.00801188949747,-0.118589890882,-0.693067785681,2.12287157559,1.96258638391,0.240933422609
0.029,1,1,-1,1,nan,nan,nan,-0.00801150792228,-0.118589914985,-0.693064066414,2.12285724207,1.96258393124,0.240945393414
0.0295,1,1,-1,1,nan,nan,nan,-0.00801112179862,-0.118589938876,-0.693060767663,2.12284527974,1.9625831726,0.240956685031
0.03,1,1,-1,1,nan,nan,nan,-0.00801078185544,-0.118589962617,-0.69305783238,2.1228353594,1.96258382579,0.240967344379
0.0305,1,1,-1,1,nan,nan,nan,-0.00801053007521,-0.118589986258,-0.693055207008,2.12282717162,1.96258562994,0.240977419935
0.031,1,1,-1,1,nan,nan,nan,-0.00801039966001,-0.118590009845,-0.693052841748,2.12282042826,1.96258834651,0.240986961258
0.0315,1,1,-1,1,nan,nan,nan,-0.00801041315585,-0.118590033421,-0.693050691272,2.12281486505,1.9625917613,0.24099601841
0.032,1,1,-1,1,nan,nan,nan,-0.00801046040675,-0.118590057041,-0.693048719758,2.12281020767,1.96259569842,0.241004689863
0.0325,1,1,-1,1,nan,nan,nan,-0.00801052829352,-0.118590080712,-0.693046895212,2.12280626204,1.96260001567,0.24101302757
0.033,1,1,-1,1,nan,nan,nan,-0.00801067313969,-0.118590104446,-0.693045188633,2.12280290014,1.96260460913,0.241021055693
0.0335,1,1,-1,1,nan,nan,nan,-0.00801095733062,-0.118590128285,-0.693043570845,2.12279999316,1.96260936997,0.241028794253
0.034,1,1,-1,1,nan,nan,nan,-0.00801143390081,-0.118590152241,-0.693042014622,2.12279741424,1.96261419018,0.241036262185
0.0345,1,1,-1,1,nan,nan,nan,-0.00801209790512,-0.118590176325,-0.693040496563,2.12279502936,1.96261897651,0.241043500318
0.035,1,1,-1,1,nan,nan,nan,-0.00801294090834,-0.118590200619,-0.693039005153,2.12279277004,1.96262368391,0.241050532248
0.0355,1,1,-1,1,nan,nan,nan,-0.00801394382136,-0.11859022492,-0.693037534557,2.12279059403,1.96262829013,0.241057378138
0.036,1,1,-1,1,nan,nan,nan,-0.00801507874852,-0.118590249345,-0.693036069894,2.12278840621,1.9626327395,0.241064077531
0.0365,1,1,-1,1,nan,nan,nan,-0.00801632260653,-0.118590273891,-0.69303459799,2.12278612404,1.96263698421,0.241070665242
0.037,1,1,-1,1,nan,nan,nan,-0.00801765178809,-0.118590298555,-0.693033107807,2.12278367712,1.96264098552,0.241077173031
0.0375,1,1,-1,1,nan,nan,nan,-0.00801904145107,-0.118590323334,-0.693031590327,2.12278100617,1.96264471327,0.24108363012
0.038,1,1,-1,1,nan,nan,nan,-0.00802046703947,-0.11859034822,-0.693030038384,2.12277806278,1.96264814514,0.241090062686
0.0385,1,1,-1,1,nan,nan,nan,-0.0080219049507,-0.118590373207,-0.693028446502,2.12277480877,1.96265126588,0.241096493763
0.039,1,1,-1,1,nan,nan,nan,-0.0080233330828,-0.118590398288,-0.693026810737,2.12277121551,1.9626540666,0.241102943192
0.0395,1,1,-1,1,nan,nan,nan,-0.00802473125923,-0.118590423455,-0.693025128531,2.12276726321,1.96265654408,0.241109427643
0.04,1,1,-1,1,nan,nan,nan,-0.00802608122688,-0.118590448688,-0.693023398581,2.12276294028,1.96265870036,0.241115960836
0.0405,1,1,-1,1,nan,nan,nan,-0.00802736713747,-0.118590473984,-0.693021620702,2.12275824269,1.96266054208,0.241122553532
0.041,1,1,-1,1,nan,nan,nan,-0.00802857610093,-0.118590499337,-0.69301979566,2.12275317322,1.96266207966,0.241129213461
0.0415,1,1,-1,1,nan,nan,nan,-0.00802969774893,-0.11859052474,-0.693017925045,2.12274774042,1.96266332666,0.241135945708
0.042,1,1,-1,1,nan,nan,nan,-0.00803072414768,-0.118590550185,-0.693016011162,2.12274195792,1.9626642993,0.241142752943
0.0425,1,1,-1,1,nan,nan,nan,-0.00803164964453,-0.118590575666,-0.693014056908,2.12273584369,1.96266501596,0.241149635663
0.043,1,1,-1,1,nan,nan,nan,-0.00803247066359,-0.118590601176,-0.693012065678,2.12272941928,1.96266549671,0.241156592452
0.0435,1,1,-1,1,nan,nan,nan,-0.00803318546393,-0.118590626708,-0.693010041263,2.12272270918,1.96266576294,0.241163620253
0.044,1,1,-1,1,nan,nan,nan,-0.00803379387361,-0.118590652257,-0.693007987762,2.12271574017,1.9626658369,0.241170714624
0.0445,1,1,-1,1,nan,nan,nan,-0.00803429701139,-0.118590677817,-0.693005909502,2.12270854065,1.9626657414,0.241177870007
0.045,1,1,-1,1,nan,nan,nan,-0.00803469700715,-0.118590703383,-0.693003810965,2.12270114015,1.96266549948,0.241185079976
